GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HOME,default,Program,7,0,0,0,3,0,2,0,2,0
HOME,default,Max,34,0,6,0,12,0,5,0,2,0
HOME,default,Main,10,0,0,0,4,0,2,0,2,0
HOME,com.company.oop.incapsulation,StaticPerson,26,0,0,0,6,0,3,0,3,0
HOME,com.company.oop.incapsulation,Queue,62,0,4,0,16,0,5,0,3,0
HOME,com.company.oop.incapsulation,StaticMethods,38,0,0,0,8,0,4,0,4,0
HOME,com.company.oop.incapsulation,Block,58,0,8,0,8,0,7,0,3,0
HOME,com.company.oop.incapsulation,StaticProgram,19,0,0,0,7,0,2,0,2,0
HOME,com.company.oop.incapsulation,PersonInc,28,0,4,0,11,0,7,0,5,0
HOME,com.company.oop.incapsulation,MyClass,19,0,0,0,7,0,3,0,3,0
HOME,com.company.oop.incapsulation,OLMPProgram,23,0,0,0,8,0,3,0,3,0
HOME,com.company.oop.incapsulation,ObjLikeMethodsParam,13,0,0,0,6,0,3,0,3,0
HOME,com.company.oop.incapsulation,AccessDemo,26,0,0,0,8,0,2,0,2,0
HOME,com.company.oop.incapsulation,Person,64,0,0,0,14,0,5,0,5,0
HOME,com.company.oop.incapsulation,PassOb,43,0,0,0,8,0,2,0,2,0
HOME,com.company.oop.incapsulation,Modificators,26,0,0,0,8,0,2,0,2,0
HOME,com.company.oop.incapsulation,IncGetSetters,28,0,0,0,8,0,2,0,2,0
HOME,com.company.oop.generics,AccountG,19,0,0,0,8,0,4,0,4,0
HOME,com.company.oop.generics,Account,19,0,0,0,8,0,4,0,4,0
HOME,com.company.oop.generics,Account2G,19,0,0,0,8,0,4,0,4,0
HOME,com.company.oop.generics,Program,31,0,0,0,6,0,2,0,2,0
HOME,com.company.oop.generics,ProgramG,17,0,0,0,5,0,2,0,2,0
HOME,com.company.oop.generics,Program2G,27,0,0,0,6,0,2,0,2,0
HOME,com.company.oop.generics,Printer,23,0,2,0,4,0,3,0,2,0
HOME,com.company.oop.generics,ProgramGenObj,79,0,0,0,7,0,2,0,2,0
HOME,com.company.collections.map,NonUniqueString,3,45,0,4,1,6,1,5,1,3
HOME,com.company.collections.map,RemoveElements,3,34,0,4,1,7,1,3,1,1
HOME,com.company.collections.map,WeatherTest,162,0,0,0,6,0,2,0,2,0
HOME,com.company.collections.map,ComputeIfAbsent,3,35,0,2,1,5,1,4,1,3
HOME,com.company.collections.map,Merge,3,34,0,2,1,5,1,3,1,2
HOME,com.company.collections.map,Merge.User,36,21,8,0,7,8,6,4,2,4
HOME,com.company.collections.map,Concordance,3,53,0,6,1,11,1,4,1,1
HOME,com.company.collections.map,KeySet,3,37,0,2,1,10,1,2,1,1
HOME,com.company.collections.map,ComputeIfAbsent.User,32,15,6,0,7,6,5,3,2,3
HOME,com.company.collections.map,Weather.Info,62,0,10,0,14,0,10,0,5,0
HOME,com.company.collections.map,Dictionary,3,62,0,6,1,10,1,4,1,1
HOME,com.company.collections.map,Farm,3,32,0,2,1,6,1,2,1,1
HOME,com.company.collections.map,MostUsedCharacter,3,84,0,6,1,15,1,5,1,2
HOME,com.company.collections.map,RemoveElements.User,50,12,10,0,9,5,8,2,3,2
HOME,com.company.collections.map,Weather,70,0,4,0,11,0,5,0,3,0
HOME,com.company.collections.map,Farm.Animal,7,40,3,3,3,10,4,4,1,4
HOME,com.company.collections.map,Mapa,43,0,0,0,9,0,2,0,2,0
HOME,com.company.collections.map,PutContainsKey,3,54,0,6,1,11,1,5,1,2
HOME,com.company.collections.map,PutIfAbsent,0,30,0,2,0,8,0,3,0,2
HOME,com.company.collections.map,GetOrDefault,0,24,0,0,0,5,0,3,0,3
HOME,com.company.collections.map,PutIfAbsent.User,13,31,3,3,3,9,4,3,1,3
HOME,com.company.collections.map,User,31,17,7,1,5,7,5,3,1,3
HOME,com.company.bases.arrays,ArrayWithoutEvenElements,37,0,4,0,8,0,4,0,2,0
HOME,com.company.bases.arrays,OddPrintTest,67,0,0,0,12,0,3,0,3,0
HOME,com.company.bases.arrays,Fibonacci,34,0,4,0,7,0,4,0,2,0
HOME,com.company.bases.arrays,UpperCaseTest,14,0,0,0,5,0,2,0,2,0
HOME,com.company.bases.arrays,SummingPreviousTest,73,0,0,0,5,0,2,0,2,0
HOME,com.company.bases.arrays,EvenSumElementsTest,77,0,0,0,9,0,3,0,3,0
HOME,com.company.bases.arrays,SwapCols,48,0,2,0,7,0,3,0,2,0
HOME,com.company.bases.arrays,Converter,114,0,12,0,21,0,8,0,2,0
HOME,com.company.bases.arrays,ArraySort,52,0,2,0,12,0,3,0,2,0
HOME,com.company.bases.arrays,ConcatArrayTest,121,0,0,0,13,0,3,0,3,0
HOME,com.company.bases.arrays,UnionThreeArrays,61,0,4,0,9,0,4,0,2,0
HOME,com.company.bases.arrays,SwapRows,44,0,2,0,7,0,3,0,2,0
HOME,com.company.bases.arrays,OddPrint,25,0,4,0,6,0,4,0,2,0
HOME,com.company.bases.arrays,MergeTest,263,0,0,0,25,0,7,0,7,0
HOME,com.company.bases.arrays,ArrayWithoutEvenElementsTest,77,0,0,0,6,0,2,0,2,0
HOME,com.company.bases.arrays,EditorElementsArray,49,0,6,0,7,0,5,0,2,0
HOME,com.company.bases.arrays,TwoDArray,55,0,8,0,12,0,6,0,2,0
HOME,com.company.bases.arrays,SumWithStopEl,35,0,6,0,9,0,5,0,2,0
HOME,com.company.bases.arrays,SwapRowsTest,83,0,0,0,5,0,2,0,2,0
HOME,com.company.bases.arrays,EvenPrintTest,71,0,0,0,12,0,3,0,3,0
HOME,com.company.bases.arrays,CheckSumIndexesTest,150,0,0,0,6,0,2,0,2,0
HOME,com.company.bases.arrays,UpperCase,36,0,2,0,8,0,3,0,2,0
HOME,com.company.bases.arrays,MaxLengthSeriaTest,161,0,0,0,14,0,5,0,5,0
HOME,com.company.bases.arrays,SummingPrevious,36,0,2,0,9,0,3,0,2,0
HOME,com.company.bases.arrays,CrossArray,33,0,6,0,7,0,5,0,2,0
HOME,com.company.bases.arrays,TranspositionTest,234,0,0,0,13,0,4,0,4,0
HOME,com.company.bases.arrays,Foreach,36,0,4,0,9,0,5,0,3,0
HOME,com.company.bases.arrays,MaxLengthSeria,37,0,6,0,10,0,5,0,2,0
HOME,com.company.bases.arrays,ArrChangePlaces,91,0,6,0,13,0,5,0,2,0
HOME,com.company.bases.arrays,EvenSumElements,27,0,4,0,7,0,4,0,2,0
HOME,com.company.bases.arrays,TwoSquareArrays,63,0,6,0,11,0,5,0,2,0
HOME,com.company.bases.arrays,RightDiagonalTest,77,0,0,0,5,0,2,0,2,0
HOME,com.company.bases.arrays,ConcatArray,9,0,0,0,2,0,2,0,2,0
HOME,com.company.bases.arrays,Array2d,61,0,6,0,13,0,5,0,2,0
HOME,com.company.bases.arrays,Merge,84,0,12,0,18,0,8,0,2,0
HOME,com.company.bases.arrays,IndexOfWithCount,25,0,6,0,8,0,5,0,2,0
HOME,com.company.bases.arrays,MergeRowsTest,103,0,0,0,6,0,2,0,2,0
HOME,com.company.bases.arrays,UnionThreeArraysTest,199,0,0,0,15,0,3,0,3,0
HOME,com.company.bases.arrays,ArrayMax,75,0,6,0,16,0,5,0,2,0
HOME,com.company.bases.arrays,EvenPrint,27,0,4,0,6,0,4,0,2,0
HOME,com.company.bases.arrays,CheckSumIndexes,86,0,10,0,17,0,7,0,2,0
HOME,com.company.bases.arrays,FibonacciTest,109,0,0,0,9,0,3,0,3,0
HOME,com.company.bases.arrays,Sorted,29,0,4,0,7,0,4,0,2,0
HOME,com.company.bases.arrays,SumWithStopElTest,111,0,0,0,9,0,3,0,3,0
HOME,com.company.bases.arrays,SwapColsTest,119,0,0,0,6,0,2,0,2,0
HOME,com.company.bases.arrays,SortedTest,45,0,0,0,9,0,3,0,3,0
HOME,com.company.bases.arrays,RightDiagonal,38,0,4,0,6,0,4,0,2,0
HOME,com.company.bases.arrays,ArrayInSquareArrayTest,148,0,0,0,11,0,3,0,3,0
HOME,com.company.bases.arrays,Arrays1,95,0,4,0,10,0,4,0,2,0
HOME,com.company.bases.arrays,Transposition,41,0,4,0,8,0,4,0,2,0
HOME,com.company.bases.arrays,ArrayInSquareArray,58,0,6,0,10,0,5,0,2,0
HOME,com.company.bases.arrays,ArrStair,78,0,8,0,16,0,6,0,2,0
HOME,com.company.bases.arrays,CrossArrayTest,76,0,0,0,11,0,3,0,3,0
HOME,com.company.bases.arrays,ConverterTest,291,0,0,0,11,0,3,0,3,0
HOME,com.company.bases.arrays,Validator,37,0,6,0,9,0,5,0,2,0
HOME,com.company.bases.arrays,ValidatorTest,111,0,0,0,11,0,3,0,3,0
HOME,com.company.bases.arrays,TwoSquareArraysTest,159,0,0,0,7,0,2,0,2,0
HOME,com.company.bases.arrays,MergeRows,41,0,4,0,9,0,4,0,2,0
HOME,com.company.inout,PrintWriterDemo,23,0,0,0,8,0,2,0,2,0
HOME,com.company.inout,BRReadLines,29,0,2,0,8,0,3,0,2,0
HOME,com.company.inout,TinyEdit,60,0,8,0,14,0,6,0,2,0
HOME,com.company.inout,ShowFile,48,0,6,0,21,0,5,0,2,0
HOME,com.company.inout,BRRead,26,0,2,0,7,0,3,0,2,0
HOME,com.company.bool,Bool,15,0,8,0,2,0,6,0,2,0
HOME,com.company.bases.cycles,Ex5Cycle,33,0,4,0,6,0,4,0,2,0
HOME,com.company.bases.cycles,Ex1Cycle,38,0,2,0,10,0,3,0,2,0
HOME,com.company.bases.cycles,WhileCycle,14,0,2,0,6,0,3,0,2,0
HOME,com.company.bases.cycles,ContCycle,19,0,4,0,6,0,4,0,2,0
HOME,com.company.bases.cycles,Ex6Cycle,38,0,2,0,12,0,3,0,2,0
HOME,com.company.bases.cycles,Ex4Cycle,40,0,2,0,12,0,3,0,2,0
HOME,com.company.bases.cycles,Ex2Cycle,57,0,6,0,16,0,5,0,2,0
HOME,com.company.bases.cycles,DoCycle2,13,0,2,0,6,0,3,0,2,0
HOME,com.company.bases.cycles,ForCycle2,32,0,2,0,8,0,3,0,2,0
HOME,com.company.bases.cycles,DoCycle1,13,0,2,0,6,0,3,0,2,0
